"no","type","Word","Sub_Type","Type2","Type3","wildcard","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor","at_FPOE","at_Gruene","at_NEOS","at_OEVP","at_PILZ","at_SPOE","de_AfD","de_CDU","de_CSU","de_FDP","de_Gruene","de_Linke","de_Piraten","de_SPD","ch_BDP","ch_CVP","ch_EDU","ch_EVP","ch_FDP","ch_Gruene","ch_Gruenliberale","ch_SP","ch_SVP","at_mean","de_mean","ch_mean","at_FPOE_meandv","at_Gruene_meandv","at_NEOS_meandv","at_OEVP_meandv","at_PILZ_meandv","at_SPOE_meandv","de_AfD_meandv","de_CDU_meandv","de_CSU_meandv","de_FDP_meandv","de_Gruene_meandv","de_Linke_meandv","de_Piraten_meandv","de_SPD_meandv","ch_BDP_meandv","ch_CVP_meandv","ch_EDU_meandv","ch_EVP_meandv","ch_FDP_meandv","ch_Gruene_meandv","ch_Gruenliberale_meandv","ch_SP_meandv","ch_SVP_meandv"
8063,,"multis (.* )?nehmen sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisnehmensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,0.97,4,"multis (.* )?nehmen sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8064,,"multis ohne bodenhaftung","abgehobene, dreiste eliten","conflictive","anti-elitism","none",0,0,1,0,0,"never appeared term","multisohnebodenhaftung",TRUE,FALSE,FALSE,2019-04-11,0,0.93,4,"multis ohne bodenhaftung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8065,,"multis (.* )?paktieren","paktierende eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multispaktieren",TRUE,FALSE,FALSE,2019-04-11,0,0.93,4,"multis (.* )?paktieren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8066,,"multis (.* )?plündern","korrupte eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisplündern",TRUE,FALSE,FALSE,2019-04-11,0,0.95,4,"multis (.* )?plündern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067,,"multis (.* )?schätzen (.* )?gering","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisschätzengering",TRUE,FALSE,FALSE,2019-04-11,0,0.95,4,"multis (.* )?schätzen (.* )?gering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068,,"multis (.* )?scheuen sich (.* )?nicht","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisscheuensichnicht",TRUE,FALSE,FALSE,2019-04-11,0,0.94,4,"multis (.* )?scheuen sich (.* )?nicht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8069,,"multis (.* )?schummelen","unaufrichtige eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisschummelen",TRUE,FALSE,FALSE,2019-04-11,0,0.97,4,"multis (.* )?schummelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8070,,"multis (.* )?schwindelen","unaufrichtige eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multisschwindelen",TRUE,FALSE,FALSE,2019-04-11,0,0.95,4,"multis (.* )?schwindelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071,,"multis (.* )?(sehen|schauen|blicken) (.* )?(her|hin)(ab|unter)","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multissehenschauenblickenherhinabunter",TRUE,FALSE,FALSE,2019-04-11,0,0.97,4,"multis (.* )?(sehen|schauen|blicken) (.* )?(her|hin)(ab|unter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,,"multis sich (.* )?anma(ß|ss)en","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","multissichanmaßssen",TRUE,FALSE,FALSE,2019-04-11,0,0.93,4,"multis sich (.* )?anma(ß|ss)en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
